docid	audio_s	compute_s	generated	deleted
0	0.8	0.00014972686767578125		
0	1.6	0.28115224838256836	Ja.	
0	2.4000000000000004	0.03973221778869629		
0	3.2	0.2889223098754883	Hallo an alle.	Ja.
0	4.0	0.36058712005615234	Heute werde ich	an alle.
0	4.8	0.4677121639251709	zusammen. unsere Ergebnisse vorstellen.	Heute werde ich
0	5.6	0.43526387214660645	Forschungsarbeit zur Lernung vorstellen.	Ergebnisse vorstellen.
0	6.3999999999999995	0.5191805362701416	"Forschungsarbeit „Learning to Raisin Detail"" vorstellen."	zur Lernung vorstellen.
0	7.199999999999999	0.4678328037261963	"„Deduktives Lernen"" vorstellen."	"Forschungsarbeit „Learning to Raisin Detail"" vorstellen."
0	7.999999999999999	0.7132604122161865	"„Deduktives Lernen zum Problemlösen im Metro-System"" vorstellen."	"Lernen"" vorstellen."
0	8.799999999999999	0.6353156566619873	"Lernen zum Problemlösen im als Computer"" vorstellen."	"„Deduktives Lernen zum Problemlösen im Metro-System"" vorstellen."
0	9.6	0.6169862747192383	"Metro-System als komplexe Regionsextraktion"" vorstellen."	"als Computer"" vorstellen."
0	10.4	0.5291171073913574	"Extraktion von Schlussfolgerungen"" vorstellen."	"Regionsextraktion"" vorstellen."
0	11.200000000000001	0.6871612071990967	Ich bin Alan von Bio.	
0	12.000000000000002	0.5611307621002197	"komplexe Extraktion von Schlussfolgerungen"" vorstellen. Ich bin Alan aus dem AI-Labor von Biden."	von Bio.
0	12.800000000000002	0.6015753746032715	aus dem AI-Labor von und dies ist ein Journal.	"komplexe Extraktion von Schlussfolgerungen"" vorstellen. Ich bin Alan aus dem AI-Labor von Biden."
0	13.600000000000003	0.5284199714660645	Biden und dies ist gemeinsame Arbeit mit Cheer.	und dies ist ein Journal.
0	14.400000000000004	0.7649524211883545	eine gemeinsame Arbeit mit Thierry von der Universität von der Universität von der Universität von der Universität.	gemeinsame Arbeit mit Cheer.
0	15.200000000000005	0.4082036018371582	Texas.	von der Universität von der Universität von der Universität.
0	16.000000000000004	0.3243408203125	Texas an Austin.	Texas.
0	16.800000000000004	0.46588921546936035	Texas in Austin, und wir sind	Texas an Austin.
0	17.600000000000005	0.5264458656311035	von Texas Weiru von SUDD.	Texas in Austin, und wir sind
0	18.400000000000006	0.44474005699157715	an Austin und	Weiru von SUDD.
0	19.200000000000006	0.4044792652130127	Zuerst möchte ich	
0	20.000000000000007	0.45093846321105957	über unsere sprechen	
0	20.800000000000008	0.35860133171081543	Motivation sprechen.	sprechen
0	21.60000000000001	0.4504830837249756		
0	22.40000000000001	0.45455455780029297	für das Also hier	Motivation sprechen.
