docid	audio_s	compute_s	generated	deleted
0	0.72	0.00012159347534179688		
0	1.44	0.03806424140930176		
0	2.16	0.2936899662017822	Euh	
0	2.88	0.2890357971191406	tous.	Euh
0	3.5999999999999996	0.27318644523620605	Bonjour à	tous.
0	4.319999999999999	0.35605645179748535	Aujourd'hui, je vais présenter	
0	5.039999999999999	0.47094154357910156	nos recherches.	
0	5.759999999999999	0.48768162727355957	travail de recherche sur l'apprentissage de	nos recherches.
0	6.479999999999999	0.7922875881195068	notre travail de travail de recherche, intitulé « Apprendre à raisonner de manière déductive ».	travail de recherche sur l'apprentissage de
0	7.199999999999998	0.6029999256134033	déductif.	travail de recherche, intitulé « Apprendre à raisonner de manière déductive ».
0	7.919999999999998	0.8223228454589844	recherche sur l'apprentissage du raisonnement déductif : les problèmes de métro.	déductif.
0	8.639999999999999	0.5848898887634277	"problèmes de type ""Metro""."	les problèmes de métro.
0	9.36	0.6346726417541504	la résolution de problèmes de type régional complexe.	"problèmes de type ""Metro""."
0	10.08	0.47631192207336426	"""Metro"" comme extraction de régions complexes."	régional complexe.
0	10.8	0.5002567768096924	Je suis Alan.	
0	11.520000000000001	0.4025125503540039	de Biden's	Alan.
0	12.240000000000002	0.6761267185211182	laboratoire d'intelligence artificielle de Biden, et ceci	de Biden's
0	12.960000000000003	0.7774364948272705	Alan, du laboratoire d'intelligence artificielle de Biden, et laboratoire d'intelligence artificielle de Biden, et voici un journal.	laboratoire d'intelligence artificielle de Biden, et ceci
0	13.680000000000003	0.5641248226165771	travail conjoint avec Cheryl.	laboratoire d'intelligence artificielle de Biden, et voici un journal.
0	14.400000000000004	0.9907059669494629	du laboratoire d'intelligence artificielle de Biden, et c'est un travail conjoint avec Thierry de l'Université de l'Université de l'Université de l'Université.	travail conjoint avec Cheryl.
0	15.120000000000005	0.7809240818023682	Texas.	du laboratoire d'intelligence artificielle de Biden, et c'est un travail conjoint avec Thierry de l'Université de l'Université de l'Université de l'Université.
0	15.840000000000005	0.7249627113342285	Texas à Austin.	Texas.
0	16.560000000000006	0.9838016033172607	de l'Australie du Sud à Austin.	Texas à Austin.
0	17.280000000000005	0.9517803192138672	il s'agit d'un travail conjoint avec Thierry de l'Université Austin et Weidu de SU.	de l'Australie du Sud à Austin.
0	18.000000000000004	0.5504710674285889	du Texas à Austin et Weiru de SUDD.	Austin et Weidu de SU.
0	18.720000000000002	0.37192368507385254		
0	19.44	0.5169773101806641	s'agit d'un travail conjoint avec Thierry de l'Université du Texas à Austin et Weiru de SUDD. Tout d'abord, je voudrais parler	Weiru de SUDD.
0	20.16	0.6223204135894775	notre motivation.	s'agit d'un travail conjoint avec Thierry de l'Université du Texas à Austin et Weiru de SUDD. Tout d'abord, je voudrais parler
0	20.88	0.44507670402526855	de notre motivation pour cette recherche.	notre motivation.
0	21.599999999999998	0.43434882164001465	artificielle de Biden, et il s'agit d'un travail conjoint avec Thierry de l'Université du Texas à Austin et Weiru de SUDD. Tout d'abord, je voudrais parler de notre motivation pour le raisonnement.	cette recherche.
0	22.319999999999997	0.4857485294342041	Donc ici, nous	artificielle de Biden, et il s'agit d'un travail conjoint avec Thierry de l'Université du Texas à Austin et Weiru de SUDD. Tout d'abord, je voudrais parler de notre motivation pour le raisonnement.
0	23.039999999999996	0.3621551990509033	un exemple.	Donc ici, nous
0	23.759999999999994	0.3677093982696533	Voici donc un exemple où	un exemple.
0	24.479999999999993	0.5281884670257568	plusieurs étapes.	où
0	25.199999999999992	0.6831979751586914	raisonnement. Voici donc un exemple montrant comment le raisonnement en plusieurs étapes peut être utile.	plusieurs étapes.
0	25.91999999999999	0.5767042636871338		raisonnement. Voici donc un exemple montrant comment le raisonnement en plusieurs étapes peut être utile.
0	26.63999999999999	0.44080543518066406	Cette figure est extraite de	
0	27.35999999999999	0.44324159622192383	de	
0	28.079999999999988	0.39318180084228516	PELM.	de
0	28.799999999999986	0.44202661514282227	l'article comment le raisonnement en plusieurs étapes peut être utile. Cette figure est extraite de l'article PELM, où	PELM.
0	29.519999999999985	0.47455692291259766	ils effectuent correctement	comment le raisonnement en plusieurs étapes peut être utile. Cette figure est extraite de l'article PELM, où
0	30.239999999999984	0.5966548919677734	prompting pour résoudre.	ils effectuent correctement
0	30.959999999999983	0.6804165840148926	PELM, où ils effectuent un prompting pour résoudre la méthode.	prompting pour résoudre.
0	31.679999999999982	0.3946399688720703	résoudre le problème de méthode.	la méthode.
0	32.399999999999984	0.4311695098876953	le problème de problème de méthode dans un	résoudre le problème de méthode.
0	33.11999999999998	0.5062265396118164	apprentissage par quelques exemples.	problème de méthode dans un
0	33.83999999999998	0.5318820476531982	scénario d'apprentissage par quelques exemples.	apprentissage par quelques exemples.
0	34.55999999999998	0.45727086067199707		
0	35.27999999999998	0.37786078453063965	l'article PELM, où ils effectuent un prompting pour résoudre le problème de méthode dans un scénario d'apprentissage par quelques exemples. Sur NetPalphine,	scénario d'apprentissage par quelques exemples.
0	35.99999999999998	0.3760490417480469	côté NetPen,	l'article PELM, où ils effectuent un prompting pour résoudre le problème de méthode dans un scénario d'apprentissage par quelques exemples. Sur NetPalphine,
0	36.71999999999998	0.5612101554870605	Du nous pouvons voir si	côté NetPen,
0	37.439999999999976	0.5449097156524658	certains	si
0	38.159999999999975	0.4753403663635254	que si nous exemples. Du côté NetPen, nous pouvons voir que si nous fournissons certains exemples.	certains
0	38.879999999999974	0.3946847915649414	fournissons certains exemples. Du côté NetPen, nous pouvons voir que si nous fournissons certains exemples avec seulement	exemples. Du côté NetPen, nous pouvons voir que si nous fournissons certains exemples.
0	39.59999999999997	0.5183982849121094	exemples question et une réponse.	exemples. Du côté NetPen, nous pouvons voir que si nous fournissons certains exemples avec seulement
0	40.31999999999997	0.6574568748474121	contenant uniquement questions et des réponses, nous pourrions	question et une réponse.
0	41.03999999999997	0.639906644821167	des questions et des réponses, nous être utile. Cette figure est extraite de l'article PELM, où ils effectuent un prompting pour résoudre le problème de méthode dans un scénario d'apprentissage par quelques exemples. Du côté NetPen, nous pouvons voir que si nous fournissons certains exemples contenant uniquement des questions et des réponses, nous pourrons peut-être pas	questions et des réponses, nous pourrions
0	41.75999999999997	0.6253437995910645	pourrons peut-être obtenir le résultat souhaité.	être utile. Cette figure est extraite de l'article PELM, où ils effectuent un prompting pour résoudre le problème de méthode dans un scénario d'apprentissage par quelques exemples. Du côté NetPen, nous pouvons voir que si nous fournissons certains exemples contenant uniquement des questions et des réponses, nous pourrons peut-être pas
0	42.47999999999997	0.4512970447540283	ne pas obtenir exemples. Du côté NetPen, nous pouvons voir que si nous fournissons certains exemples contenant uniquement des questions et des réponses, nous pourrons peut-être ne pas obtenir les bonnes réponses.	obtenir le résultat souhaité.
0	43.19999999999997	0.4432253837585449	si nous fournissons certains exemples contenant uniquement des questions et des réponses, nous pourrons peut-être ne pas obtenir les bonnes réponses. Mais si	exemples. Du côté NetPen, nous pouvons voir que si nous fournissons certains exemples contenant uniquement des questions et des réponses, nous pourrons peut-être ne pas obtenir les bonnes réponses.
0	43.919999999999966	0.489656925201416	davantage	si nous fournissons certains exemples contenant uniquement des questions et des réponses, nous pourrons peut-être ne pas obtenir les bonnes réponses. Mais si
0	44.639999999999965	0.5457451343536377	nous prompting pour résoudre le problème de méthode dans un scénario d'apprentissage par quelques exemples. Du côté NetPen, nous pouvons voir que si nous fournissons certains exemples contenant uniquement des questions et des réponses, nous pourrons peut-être ne pas obtenir les bonnes réponses. Mais si nous fournissons davantage de raisonnement, cela	davantage
0	45.359999999999964	0.5764298439025879	fournissons descriptions de raisonnement, le plus	prompting pour résoudre le problème de méthode dans un scénario d'apprentissage par quelques exemples. Du côté NetPen, nous pouvons voir que si nous fournissons certains exemples contenant uniquement des questions et des réponses, nous pourrons peut-être ne pas obtenir les bonnes réponses. Mais si nous fournissons davantage de raisonnement, cela
0	46.07999999999996	0.650019645690918	modèle est capable de	descriptions de raisonnement, le plus
0	46.79999999999996	0.7208898067474365	une description de raisonnement supplémentaire, le prédire.	modèle est capable de
0	47.51999999999996	0.515566349029541	des questions et des réponses, nous pourrons peut-être ne pas obtenir les bonnes réponses. Mais si nous fournissons une description de raisonnement supplémentaire, le modèle est capable de prédire cette description de raisonnement.	prédire.
0	48.23999999999996	0.48730015754699707	prédire cette description de description de raisonnement et	des questions et des réponses, nous pourrons peut-être ne pas obtenir les bonnes réponses. Mais si nous fournissons une description de raisonnement supplémentaire, le modèle est capable de prédire cette description de raisonnement.
0	48.95999999999996	0.36391782760620117	aussi	description de raisonnement et
0	49.67999999999996	0.3721003532409668	faire	aussi
0	50.399999999999956	0.5504987239837646	également de une prédiction correcte.	faire
0	51.119999999999955	0.4562959671020508	ici.	correcte.
0	51.839999999999954	0.28258466720581055	correcte	ici.
0	52.55999999999995	0.15140318870544434		
0	53.27999999999995	0.15492773056030273		
0	53.99999999999995	0.47272586822509766	C'est donc une bonne chose.	
0	54.71999999999995	0.6652870178222656	d'avoir une interprétabilité.	C'est donc une bonne chose.
0	55.43999999999995	0.8092904090881348	Il est donc bon d'avoir étapes interprétable.	d'avoir une interprétabilité.
0	56.15999999999995	0.5881021022796631	un raisonnement en plusieurs peut-être ne pas obtenir les bonnes réponses. Mais si nous fournissons une description de raisonnement supplémentaire, le modèle est capable de prédire cette description de raisonnement et également de faire une prédiction correcte ici. Il est donc bon d'avoir un raisonnement en plusieurs étapes interprétable.	étapes interprétable.
0	56.879999999999946	0.2688477039337158	interprétable.	peut-être ne pas obtenir les bonnes réponses. Mais si nous fournissons une description de raisonnement supplémentaire, le modèle est capable de prédire cette description de raisonnement et également de faire une prédiction correcte ici. Il est donc bon d'avoir un raisonnement en plusieurs étapes interprétable.
0	57.599999999999945	0.4083518981933594	Et nous avons aussi	interprétable.
0	58.31999999999994	0.4330017566680908	interprétable. Nous pensons également que	Et nous avons aussi
0	59.03999999999994	0.5502548217773438	Nous pensons également problèmes de méthode.	interprétable. Nous pensons également que
0	59.75999999999994	0.4813954830169678	problème de méthode est	problèmes de méthode.
0	60.47999999999994	0.5311157703399658	que le simple et	problème de méthode est
0	61.19999999999994	0.3929448127746582	une application directe.	simple et
0	61.91999999999994	0.4946885108947754	correcte ici. Il est donc bon d'avoir un raisonnement en plusieurs étapes interprétable. Nous pensons également que le problème de méthode est une application simple à évaluer.	directe.
0	62.63999999999994	0.5863378047943115	simple raisonnement et également de faire une prédiction correcte ici. Il est donc bon d'avoir un raisonnement en plusieurs étapes interprétable. Nous pensons également que le problème de méthode est une application simple pour évaluer ce type de raisonnement.	correcte ici. Il est donc bon d'avoir un raisonnement en plusieurs étapes interprétable. Nous pensons également que le problème de méthode est une application simple à évaluer.
0	63.359999999999935	0.5775678157806396		
0	64.07999999999994	0.2640562057495117		
0	64.79999999999994	0.1599438190460205		raisonnement et également de faire une prédiction correcte ici. Il est donc bon d'avoir un raisonnement en plusieurs étapes interprétable. Nous pensons également que le problème de méthode est une application simple pour évaluer ce type de raisonnement.
0	65.51999999999994	0.14386415481567383		
0	66.23999999999994	0.4259958267211914		
0	66.95999999999994	0.6783325672149658	de capacités de raisonnement. problème de méthode est une application simple pour évaluer ce type de capacités de raisonnement. Donc, dans notre problème	
0	67.67999999999994	0.46750926971435547	configuration de problème,	problème de méthode est une application simple pour évaluer ce type de capacités de raisonnement. Donc, dans notre problème
0	68.39999999999993	0.680858850479126	Dans notre donné le graphe.	configuration de problème,
0	69.11999999999993	0.5411057472229004	étant donné questions, nous devons	donné le graphe.
0	69.83999999999993	0.630117654800415	les d'avoir un raisonnement en plusieurs étapes interprétable. Nous pensons également que le problème de méthode est une application simple pour évaluer ce type de capacités de raisonnement. Dans notre configuration de problème, étant donné les questions, nous devons résoudre ceci.	questions, nous devons
0	70.55999999999993	0.5026769638061523	résoudre cette description de raisonnement et également de faire une prédiction correcte ici. Il est donc bon d'avoir un raisonnement en plusieurs étapes interprétable. Nous pensons également que le problème de méthode est une application simple pour évaluer ce type de capacités de raisonnement. Dans notre configuration de problème, étant donné les questions, nous devons résoudre cette question et	d'avoir un raisonnement en plusieurs étapes interprétable. Nous pensons également que le problème de méthode est une application simple pour évaluer ce type de capacités de raisonnement. Dans notre configuration de problème, étant donné les questions, nous devons résoudre ceci.
0	71.27999999999993	0.46722912788391113		description de raisonnement et également de faire une prédiction correcte ici. Il est donc bon d'avoir un raisonnement en plusieurs étapes interprétable. Nous pensons également que le problème de méthode est une application simple pour évaluer ce type de capacités de raisonnement. Dans notre configuration de problème, étant donné les questions, nous devons résoudre cette question et
0	71.99999999999993	0.46706247329711914	obtenir	
