experiment	label	group	direction	metric	value	details	output_dir
pac_lacp064	PAC, LCP 0.64s	main	en-de	BLEU	25.4352	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	chrF	55.9045	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	COMET	0.7199	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	LongYAAL (CU)	1560.7405	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	LongAL (CU)	1465.8241	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	LongLAAL (CU)	1680.8366	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	LongAP (CU)	0.7155	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	LongDAL (CU)	2223.1432	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	LongYAAL (CA)	2189.1473	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	LongAL (CA)	2191.7230	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	LongLAAL (CA)	2381.8469	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	LongAP (CA)	0.8398	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	LongDAL (CA)	2984.3968	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	normalized_erasure	2.287892650198231	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	real_time_factor	1.0090124326746623	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	chunks	5328	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	generated_tokens_total	21562	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	deleted_tokens_total	15004	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	deletion_ratio	0.6958538169001021	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	revision_step_rate	0.16685435435435436	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	emission_step_rate	0.6392642642642643	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	mean_computation_time_s	0.6453785695829191	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	p95_computation_time_s	0.9868357181549072	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	max_computation_time_s	1.4667203426361084	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	total_computation_time_s	3438.577018737793	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	metrics_log_rtf	4.75583393056303	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	BLEU	36.2860	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	chrF	63.2750	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	COMET	0.6168	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	LongYAAL (CU)	1556.6936	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	LongAL (CU)	1533.3934	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	LongLAAL (CU)	1661.4873	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	LongAP (CU)	0.6966	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	LongDAL (CU)	2184.2887	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	LongYAAL (CA)	2210.8576	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	LongAL (CA)	2252.3160	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	LongLAAL (CA)	2362.5043	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	LongAP (CA)	0.8176	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	LongDAL (CA)	2947.6635	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	normalized_erasure	3.5884615384615386	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	real_time_factor	1.0044568596083931	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	chunks	5328	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	generated_tokens_total	34597	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	deleted_tokens_total	27057	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	deletion_ratio	0.7820620284995808	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	revision_step_rate	0.15990990990990991	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	emission_step_rate	0.6580330330330331	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	mean_computation_time_s	0.6424647608587334	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	p95_computation_time_s	0.9728639125823975	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	max_computation_time_s	1.362550973892212	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	total_computation_time_s	3423.0522458553314	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	metrics_log_rtf	4.73436189685945	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-pt	BLEU	35.6057	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-pt	chrF	63.6438	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-pt	COMET	0.6558	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-pt	LongYAAL (CU)	1585.8375	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-pt	LongAL (CU)	1550.3190	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-pt	LongLAAL (CU)	1693.4484	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-pt	LongAP (CU)	0.6951	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-pt	LongDAL (CU)	2211.1353	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-pt	LongYAAL (CA)	2218.0622	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-pt	LongAL (CA)	2246.2994	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-pt	LongLAAL (CA)	2369.6721	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-pt	LongAP (CA)	0.8130	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-pt	LongDAL (CA)	2938.7115	OmniSTEval longform	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-pt	normalized_erasure	0.9671828384713738	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-pt	real_time_factor	0.9645114208359828	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-pt	chunks	5328	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-pt	generated_tokens_total	13847	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-pt	deleted_tokens_total	6808	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-pt	deletion_ratio	0.49165884307070123	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-pt	revision_step_rate	0.17267267267267267	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-pt	emission_step_rate	0.6576576576576577	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-pt	mean_computation_time_s	0.6169150953625774	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-pt	p95_computation_time_s	0.9309182167053223	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-pt	max_computation_time_s	1.394989013671875	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-pt	total_computation_time_s	3286.923628091812	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-pt	metrics_log_rtf	4.54608485791209	simulstream.metrics.stats	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	chunks	5328.000000	metrics_log_diagnostics	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	generated_tokens_total	21562.000000	metrics_log_diagnostics	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	deleted_tokens_total	15004.000000	metrics_log_diagnostics	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	deletion_ratio	0.695854	metrics_log_diagnostics	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	revision_step_rate	0.166854	metrics_log_diagnostics	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	emission_step_rate	0.639264	metrics_log_diagnostics	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	mean_computation_time_s	0.645379	metrics_log_diagnostics	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	p50_computation_time_s	0.685076	metrics_log_diagnostics	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	p95_computation_time_s	0.986836	metrics_log_diagnostics	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	max_computation_time_s	1.466720	metrics_log_diagnostics	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	total_computation_time_s	3438.577019	metrics_log_diagnostics	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-de	metrics_log_rtf	4.755834	metrics_log_diagnostics	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	chunks	5328.000000	metrics_log_diagnostics	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	generated_tokens_total	34597.000000	metrics_log_diagnostics	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	deleted_tokens_total	27057.000000	metrics_log_diagnostics	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	deletion_ratio	0.782062	metrics_log_diagnostics	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	revision_step_rate	0.159910	metrics_log_diagnostics	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	emission_step_rate	0.658033	metrics_log_diagnostics	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	mean_computation_time_s	0.642465	metrics_log_diagnostics	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
pac_lacp064	PAC, LCP 0.64s	main	en-fr	p50_computation_time_s	0.684235	metrics_log_diagnostics	/home/gemamol/tools/streaming_sfm/output/pac_experiments_wsize/pac_lacp064
